id,module,scenario,type,priority,method,endpoint,pre_condition,input,expected,remarks
"ORDER-001","订单","结算生成订单信息","scenario","P0","POST","/p/order/confirm","test001 已登录 + 购物车有商品 + 已选地址","{addrId:10001, basketIds:[50001,50002]}","返回 200 + ShopCartOrderMergerDto {actualTotal,total,totalCount,shopCartOrders,orderReduce}","主链路-OrderParam.addrId 触发 ConfirmOrderEvent"
"ORDER-002","订单","提交订单返回支付流水号","scenario","P0","POST","/p/order/submit","已 confirm 缓存 + test001 已登录","{orderShopParam:[{shopId:1,remarks:'请发顺丰'}]}","返回 200 + OrderNumbersDto {orderNumbers:'O20240101001,O20240101002'} 多个订单号用逗号分隔","主链路-根据店铺拆单"
"ORDER-003","订单","支付成功 pay","scenario","P0","POST","/p/order/pay","test001 已登录 + 待付款订单 orderNumber=O20240101001","{orderNumbers:'O20240101001', payType:1}","返回 200 + paySuccess 更新订单 status=2 PADYED","主链路-payType=1 微信 / =2 支付宝"
"ORDER-004","订单","普通支付 normalPay","scenario","P0","POST","/p/order/normalPay","test001 已登录 + 待付款订单","{orderNumbers:'O20240101001', payType:2}","返回 200 + Boolean true","主链路-同 pay 接口但返回 Boolean"
"ORDER-005","订单","确认收货","scenario","P0","PUT","/p/myOrder/receipt/{orderNumber}","test001 已登录 + 订单 status=3 CONSIGNMENT","PUT /p/myOrder/receipt/O20240101001","返回 200 + status=4 CONFIRM","主链路-CONFIRM 触发商品缓存清除"
"ORDER-006","订单","查看物流","scenario","P1","GET","/delivery/check","已发货订单 orderNumber=O20240101001 + dvyId 配置 queryUrl","?orderNumber=O20240101001","返回 200 + DeliveryDto {dvyFlowId,companyName,traces}","主链路-第三方物流接口（HttpUtil.get）"
"ORDER-007","订单","状态机-待付款→取消订单","scenario","P0","PUT","/p/myOrder/cancel/{orderNumber}","test001 已登录 + 订单 status=1 UNPAY","PUT /p/myOrder/cancel/O20240101001","返回 200 + status=6 CLOSE + 库存还原","状态机-UNPAY→CLOSE"
"ORDER-008","订单","状态机-已付款订单不可取消","scenario","P0","PUT","/p/myOrder/cancel/{orderNumber}","test001 已登录 + 订单 status=2 PADYED","PUT /p/myOrder/cancel/O20240101002","返回 500 '订单已支付，无法取消订单'","状态机-PADYED 不允许取消"
"ORDER-009","订单","状态机-商家发货 PADYED→CONSIGNMENT","scenario","P0","POST","/admin/order/delivery","test001 已登录 + 商家后台 + 订单 status=2 + 已填 dvyId/dvyFlowId","{orderNumber:O20240101002, dvyId:1, dvyFlowId:'SF1234567890'}","返回 200 + status=3 CONSIGNMENT","状态机-PADYED→CONSIGNMENT"
"ORDER-010","订单","状态机-用户确认收货","scenario","P1","PUT","/p/myOrder/receipt/{orderNumber}","test001 已登录 + 订单 status=3","PUT /p/myOrder/receipt/O20240101002","返回 200 + status=4 CONFIRM","状态机-CONSIGNMENT→CONFIRM"
"ORDER-011","订单","状态机-用户评价 CONFIRM→SUCCESS","scenario","P1","POST","/prodComm","test001 已登录 + 订单 status=4 + 待评论 orderItem","{orderItemId:60001, prodId:10001, content:'好评', score:5}","返回 200 + 订单 status=5 SUCCESS + 商品购买数+1","状态机-CONFIRM→SUCCESS"
"ORDER-012","订单","查询订单列表 status=0 全部","scenario","P1","GET","/p/myOrder/myOrder","test001 已登录 + 多笔订单混合状态","?status=0&page=1&size=10","返回全部订单（不限状态）","状态机-按状态查询"
"ORDER-013","订单","查询订单列表 status=1 待付款","scenario","P1","GET","/p/myOrder/myOrder","test001 有 3 笔 UNPAY + 2 笔 PADYED","?status=1&page=1&size=10","仅返回 3 笔 status=1 订单","状态机-按状态过滤"
"ORDER-014","订单","订单数量统计 orderCount","scenario","P0","GET","/p/myOrder/orderCount","test001 有不同状态订单","无 body","返回 OrderCountData {unPay:3, padyed:2, consignment:1, confirm:1}","状态机-订单数量看板"
"ORDER-015","订单","幂等-重复 submit 同一 confirm 缓存","scenario","P1","POST","/p/order/submit","test001 已 confirm 一次","两次相同 SubmitOrderParam 提交","第二次返回 200 但应提示 '订单已过期，请重新下单' 或新合并订单","幂等性-confirmOrderCache（CONTEXT §3 幂等性）"
"ORDER-016","订单","幂等-重复 pay 同一订单号","scenario","P1","POST","/p/order/pay","test001 + orderNumber=O20240101001 已支付","两次相同 PayParam","第二次返回 200 但 paySuccess 应幂等（订单 status 不应回到 UNPAY）","幂等性-支付回调幂等（CONTEXT §3 幂等性）"
"ORDER-017","订单","幂等-重复 cancel 同一订单","scenario","P1","PUT","/p/myOrder/cancel/{orderNumber}","订单已 CLOSE","PUT /p/myOrder/cancel/O20240101001","返回 500 '订单已支付，无法取消订单'（业务异常）","幂等性-状态守卫（CONTEXT §3 幂等性）"
"ORDER-018","订单","并发-同账号并发提交订单","concurrency","P1","POST","/p/order/submit","test001 已登录 + 库存 10","100 并发 submit 同一 confirm 缓存","应通过 Redisson 分布式锁保证库存不超卖，最终仅 1 个订单号","分布式锁-秒杀场景（CONTEXT §3 分布式锁）"
"ORDER-019","订单","并发-库存超卖防护","concurrency","P1","POST","/p/order/submit","SKU 库存 = 1 + 100 并发","100 并发 submit","第 1 个请求成功，其余返回 500 库存不足","分布式锁-Redisson（CONTEXT §3 分布式锁）"
"ORDER-020","订单","鉴权-未登录访问订单接口","scenario","P0","POST","/p/order/confirm","无 token","{addrId:10001, basketIds:[50001]}","返回 401 未登录","鉴权链-Sa-Token（CONTEXT §3 鉴权链）"
"ORDER-021","订单","鉴权-普通用户查他人订单","scenario","P1","GET","/p/myOrder/orderDetail","test001 已登录 + 订单 O9999 属 test002","?orderNumber=O9999","返回 500 '你没有权限获取该订单信息'","鉴权链-订单归属校验（CONTEXT §3 鉴权链）"
"ORDER-022","订单","鉴权-token 过期访问订单","scenario","P1","GET","/p/myOrder/myOrder","test001 token 已过期 1 小时","?status=0","返回 401 token 过期","鉴权链-过期 token（CONTEXT §3 鉴权链）"
"ORDER-023","订单","参数-addrId 缺失","boundary","P2","POST","/p/order/confirm","test001 已登录","{basketIds:[50001]}","返回 400 '地址不能为空'（OrderParam.addrId @NotNull 触发）","参数校验-必填字段（CONTEXT §3 参数校验）"
"ORDER-024","订单","参数-orderNumbers 缺失","boundary","P1","POST","/p/order/pay","test001 已登录","{payType:1}","返回 400 '订单号不能为空'（PayParam.orderNumbers @NotBlank 触发）","参数校验-PayParam（CONTEXT §3 参数校验）"
"ORDER-025","订单","参数-orderNumber SQL 注入","security","P1","POST","/p/order/pay","test001 已登录","{orderNumbers:'1 OR 1=1 --', payType:1}","返回 400 而非全表匹配","SQL 注入-OrderService.getOrderByOrderNumber（CONTEXT §3 安全）"
"MEMBER-001","会员","查看用户信息","scenario","P0","GET","/p/user/userInfo","test001 已登录","无 body","返回 UserDto {userId,nickName,userMail,mobile,pic,status}","主链路"
"MEMBER-002","会员","修改用户信息","scenario","P0","PUT","/p/user/setUserInfo","test001 已登录","{nickName:'test001-new', avatarUrl:'https://oss.x.com/a.jpg'}","返回 200 + DB 中 nickName + pic 已更新","主链路"
"MEMBER-003","会员","nickName 长度边界值","boundary","P2","PUT","/p/user/setUserInfo","test001 已登录","{nickName:''} / {nickName:'x'*256}","空串应通过（DB 允许），256 字符应通过（UserInfoParam 无 @Size 约束）","边界值-弱约束"
"MEMBER-004","会员","头像 URL XSS 注入","security","P1","PUT","/p/user/setUserInfo","test001 已登录","{avatarUrl:'javascript:alert(1)'}","返回 200 但前端展示时不应执行脚本（依赖前端过滤）","XSS-UserInfoParam 字段弱约束（CONTEXT §3 安全）"
"MEMBER-005","会员","查看用户信息未登录","scenario","P1","GET","/p/user/userInfo","无 token","无 body","返回 401 未登录","鉴权链（CONTEXT §3 鉴权链）"
"ADDR-001","会员","地址列表","scenario","P0","GET","/p/address/list","test001 已登录 + 已有 2 个地址","无 body","返回 List<UserAddrDto> 按 commonAddr DESC, updateTime DESC 排序","主链路"
"ADDR-002","会员","新增地址","scenario","P0","POST","/p/address/addAddr","test001 已登录 + 已有 1 个默认地址","{addrId:0, receiver:'张三', mobile:'13900000001', addr:'中山路 1 号', provinceId:1, cityId:2, areaId:3, province:'广东', city:'广州', area:'天河', postCode:'510000'}","返回 200 '添加地址成功' + DB 新增 + commonAddr=0（首条地址自动=1）","主链路"
"ADDR-003","会员","新增首条地址自动设为默认","scenario","P1","POST","/p/address/addAddr","test001 已登录 + 当前无地址","{addrId:0, receiver:'张三', ...}","返回 200 + 新增地址 commonAddr=1","业务约束-AddrController.addAddr(addrCount==0)"
