bug_id,title,severity,priority,module,type,precondition,steps_to_reproduce,expected,actual,suggestion,related_testcase
BUG-001,注册接口对 mobile/userName/userMail 缺失格式校验，可写入任意字符串,Major,P0,登录注册,功能,yami-shop-api 服务已启动；Redis/Mysql 可达；不需要登录态,1. POST /user/register 携带 userName='<script>alert(1)</script>' mobile='abc123XYZ' passWord=RSA(123456) userMail='not-an-email' checkRegisterSmsFlag='valid' 2. 观察返回与数据库表 tz_user,"应返回 400 + 明确的字段级校验失败（如 '手机号格式错误' / '邮箱格式错误'），且 nickName/userMail 中的 < > & ' "" 等字符应被 escape 或拒绝",源码 UserRegisterParam.java 24-48 行的 passWord/userMail/nickName/userName/mobile 全部仅 @Schema 注解无任何 @NotBlank/@Pattern；Controller UserRegisterController.java:47 register方法仅判 nickName 空时回退 userName 后直接 userService.save(user)，导致 XSS payload 与非法格式均落库,"UserRegisterParam.java 字段增加 jakarta.validation 注解：mobile 加 @NotBlank + @Pattern(regexp=""^1[3-9]\\d{9}$"")；userName 加 @NotBlank + @Pattern(regexp=""^[a-zA-Z0-9_]{3,20}$"")；userMail 加 @Email；nickName 加 @Size(max=30)；并启用 hutool HtmlUtil.escape 兜底","REG-007,REG-008,REG-011"
BUG-002,改密接口 /user/updatePwd 缺 Sa-Token 鉴权，未登录即可修改任意用户密码,Critical,P0,登录注册,安全,test001 已注册密码 123456；不携带任何 token,"PUT /user/updatePwd body {nickName:'test001', passWord:RSA('hack999')} Header 中不携带 Authorization",应被 Sa-Token 拦截器拦截返回 401 UNAUTHORIZED，或 403 无权限,源码 UserRegisterController.java:78-100 updatePwd 方法既无 @PreAuthorize/Sa-Token 拦截注解，也未调用 SecurityUtils.getUser() 取当前用户身份，直接按 nickName 查库后调用 passwordEncoder.encode + userService.updateById；MallWebSecurityConfigurerAdapter 又显式 .requestMatchers('/**').permitAll()，导致未登录用户能改任意已知 nickName 的密码,1) UserRegisterController.updatePwd 增加 @SaCheckLogin 或在方法首行 SecurityUtils.getUser() 拿到当前 userId 后与 user.getUserId() 强校验；2) MallWebSecurityConfigurerAdapter 改为 .requestMatchers('/p/**').authenticated() / .requestMatchers('/user/**').permitAll() 白名单模式，避免 permitAll 全开,UPD-005
BUG-003,改密接口 updatePwd 缺少 '旧密码校验' 步骤，撞库成功后即可任意改密,Major,P1,登录注册,功能,test001 已注册并已登录（原密码 123456）,"PUT /user/updatePwd body {nickName:'test001', passWord:RSA('newpwd')} 不传旧密码",应要求同时传入旧密码并与 user.getLoginPassword() 匹配后再允许更新,源码 UserRegisterController.java:80-100 流程为：按 nickName 查库 → 解密新密码 → 仅校验'新密码与原密码不能相同' → 直接 updateById，没有要求提供旧密码或短信验证码二次确认,"UserRegisterParam 增加字段 oldPassWord，updatePwd 方法中 passwordEncoder.matches(oldDecrypt, user.getLoginPassword()) 失败抛 YamiShopBindException('原密码错误')；或要求传 checkUpdatePwdSmsFlag",UPD-001
BUG-004,改密接口 updatePwd 错误提示文案 '新密码不能为空' 与业务描述不符,Trivial,P3,登录注册,易用性,test001 已登录；调用 /user/updatePwd 传 passWord=RSA('hackpwd')（实际有效）,1. 调 /user/updatePwd 传 passWord 故意解密失败（如直接传 'plain-pwd'）；2. 观察响应 msg 字段,返回文案应区分：'密码 RSA 解密失败' / '新密码不能为空' / '新密码不能与原密码相同',源码 UserRegisterController.java:87-89 将 decryptPassword 为空的情况一律抛'新密码不能为空'，但实际触发原因可能是 RSA 解密异常 / 前端未加密 / 参数缺失混在一起,UserRegisterController.updatePwd 第 86-89 行拆分为两个 catch：decryptPassword == null 抛 '密码解密失败，请重新提交'；StrUtil.isBlank(decryptPassword) 抛 '新密码不能为空',UPD-004
BUG-005,商品详情接口 /prod/prodInfo 在缓存命中时不会感知 admin 后台改价,Major,P1,商品,性能,prodId=10001 已上架 price=199.0；admin 后台改为 179.0；Redis 中 prod:10001 缓存仍在 TTL 窗口内,1. 用户 A 调 GET /prod/prodInfo?prodId=10001 → 缓存写入 199.0；2. admin 在 yami-shop-admin 改价 179.0 调 /prod/update；3. 用户 B 调 GET /prod/prodInfo?prodId=10001 → 仍返回 199.0；4. 用户 B 加购后下单 → 实际支付 179.0 但前端展示 199.0,admin 改价后应同步失效 prod:10001 / sku:20001 缓存或使用 Cache-Aside 模式 （写 DB 后删缓存）,"OrderController.java:184-185 / MyOrderController.java:149-150,176-177 仅在取消订单/确认收货链路调用 productService.removeProductCacheByProdId，admin 后台改价无对应失效代码，商品详情缓存与 DB 价格不一致最长持续 TTL（通常 5-30 分钟）","admin 端 ProductController.update 增加 @CacheEvict(value='prod:', key='#prodId')；SKU 同步 失效 sku:#skuId；并加 @TransactionalEventListener(AFTER_COMMIT) 保证先提交 DB 再清缓存",PROD-030
BUG-006,商品搜索 /search/searchProdPage 未对 prodName 做长度上限，传入 256+ 字符导致全表扫描,Minor,P2,商品,边界,prod 表有 10 万行记录；prodName 字段无前缀索引,GET /search/searchProdPage?prodName=（256 个 'x'）+ '&page=1&size=10',应返回 400 '搜索关键字长度超过 64 字符' 或限制 LIKE 关键字 + 强制前缀索引,prodName 字段在 Param 中无 @Size 约束；如拼接 '%%%s%%' 类 LIKE 传入超长关键字会导致 MySQL 全表扫描（EXPLAIN type=ALL），CPU 占用 100% 持续数秒；线上存在被恶意调用的 DoS 风险,"SearchParam.searchKey 增加 @Size(max=64) + @NotBlank；并在 Service 层对关键字做 URL 解码 + hutool StrUtil.cleanBlank；SQL 强制 LIKE CONCAT('%', #{key}, '%') 配合 ngram parser",PROD-024
BUG-007,[兼容性] Safari/Edge 等浏览器前端 v-html 直接渲染 prodDesc/imgUrls 字段会触发 XSS 弹窗,Minor,P2,商品,兼容性,"admin 后台 product.imgUrls 字段被运营填入 '""<img src=x onerror=alert(1)>""'","1. admin 端在 yami-shop-admin 商品编辑填写 imgUrls 含 <script>；2. 用户访问 GET /prod/prodInfo?prodId=10001 → 返回的 imgUrls 字段含原始 HTML；3. 前端 Vue3 <img :src=""item""> 或 v-html 渲染该字段 → 弹窗",返回前应对 imgUrls / prodDesc 等富文本字段做 HTML escape 或返回结构化对象，强制前端用受控组件渲染,ProductDto.imgUrls / ProductDto.prodDesc 仅做 BeanUtil.copyProperties 原样返回，服务端未调用 HtmlUtil.escape 或 Jsoup.clean；前端若用 v-html 渲染会触发 XSS,1) ProductDto 增加 @JsonSerialize 注解对 imgUrls/prodDesc 转义；2) 前端将 v-html 替换为 DOMPurify.sanitize()；3) admin 端运营输入框接 XSS filter,
BUG-008,购物车 changeItem 接口库存校验在更新后才判断，并发场景下会出现超卖加购,Major,P0,购物车,功能,skuId=20001 stocks=10，购物车已有该 SKU count=2；100 并发请求,"100 并发 POST /p/shopCart/changeItem body {prodId:10001, skuId:20001, shopId:1, count:+1}；观察购物车中该 SKU 最终 count 与 sku.stocks 对比",购物车 count 之和 <= 10，超出部分应被拒绝并提示 '库存不足',源码 ShopCartController.java:100-148 changeItem 流程：第 107 行先读购物车 → 第 119 行计算 basketCount = param.count + shopCartItemDto.getProdCount() → 第 129 行才判断 skuParam.getStocks() < basketCount；该判断基于已加载的 skuParam.stocks（无锁无版本号），并发场景下 100 个请求同时读到 stocks=10 全部通过，最终购物车 count 可达 102,在 basketService.updateShopCartItem 之前对 skuId 加 Redisson 分布式锁（lockKey = 'shopcart:sku:' + skuId）；先 updateById sku.stocks = stocks - delta（带 where stocks >= delta 的乐观锁）返回影响行数为 0 则抛 '库存不足'；再更新购物车,CART-020
BUG-009,购物车 changeItem 允许 count 为 Integer.MIN_VALUE 至 -1 的极端值导致整型溢出,Minor,P1,购物车,边界,test001 已登录；购物车 skuId=20001 count=2,"POST /p/shopCart/changeItem body {prodId:10001, skuId:20001, shopId:1, count:-2147483648} （即 Integer.MIN_VALUE）","应返回 400 '商品数量超出合法范围' 或限制 count ∈ [-999, 999]",源码 ChangeShopCartParam.java count 字段仅 @NotNull(message='商品个数不能为空') 缺@Min/@Max；ShopCartController.java:102 仅判断 count==0；count=-2147483648 时 basketCount = -2147483648 + 2 = -2147483646（不溢出）走第 123 行 basketCount<=0 路径删除购物车，看似无害；但若购物车 count=0 且新参数 count=Integer.MAX_VALUE，最终 basketCount = Integer.MAX_VALUE + 0 = Integer.MAX_VALUE，与 skuParam.stocks 比较时永远 > stocks 抛 '库存不足'——但若 stocks 字段被错误初始化为 Integer.MAX_VALUE 则绕过校验,ChangeShopCartParam.count 增加 @Min(-999) @Max(999) jakarta.validation 注解；Controller 第 102 行扩为 if (Math.abs(param.getCount()) > 999) showFailMsg('数量超出范围'),"CART-003,CART-004"
BUG-010,购物车 changeItem 接口删除分支无返回值确认，前端难以区分 '减数到底删除' 与 '服务器异常',Trivial,P3,购物车,易用性,test001 购物车 skuId=20001 count=1；用户想减到 0,"POST /p/shopCart/changeItem body {prodId:10001, skuId:20001, shopId:1, count:-1}",应返回 200 且 data 字段含 '已从购物车移除' 文案，前端 toast 提示,源码 ShopCartController.java:124-125 删除购物车后 return ServerResponseEntity.success() 无任何文案；而正常加购路径第 147 行返回 '添加成功'，两条路径文案不一致，前端无法做差异化提示，用户看到 '操作成功' 但实际是删除,ShopCartController.java:125 改为 return ServerResponseEntity.success('已从购物车移除')；前端按 msg 字段做 toast 文案兜底,CART-004
